Institution,Subsistem,Sector,URL,Homepage,Programs,Applications,Accessibility Statement,Rating
Escola Superior Náutica Infante D. Henrique,Polytechnic Organic Unit Not Attached to an University,Public,https://www.enautica.pt/,2.9,3.4,2.9,0.0,2.30
Academia Nacional Superior de Orquestra,Polytechnic Organic Unit Not Attached to an University,Private,https://www.metropolitana.pt/,4.9,5.2,,0.0,3.79
Escola Superior de Artes e Design,Polytechnic Organic Unit Not Attached to an University,Private,https://esad.pt/,5.5,5.3,5.6,0.0,4.10
Escola Superior de Atividades Imobiliárias,Polytechnic Organic Unit Not Attached to an University,Private,https://esai.pt/,5.2,5.2,,0.0,3.90
Escola Superior de Educação de João de Deus,Polytechnic Organic Unit Not Attached to an University,Private,http://www.ese-jdeus.edu.pt/,3.8,4,4.5,0.0,3.08
Escola Superior de Educação de Paula Frassinetti,Polytechnic Organic Unit Not Attached to an University,Private,https://www.esepf.pt/,4.9,5.4,6.3,0.0,4.15
Escola Superior de Enfermagem Cruz Vermelha Portuguesa,Polytechnic Organic Unit Not Attached to an University,Private,https://www.esscvp.eu/,4.7,4.1,3.9,0.0,3.18
Escola Superior de Enfermagem S. Francisco das Misericórdias,Polytechnic Organic Unit Not Attached to an University,Private,https://esesfm.pt/,4.5,5.1,4.2,0.0,3.45
Escola Superior de Enfermagem São José de Cluny,Polytechnic Organic Unit Not Attached to an University,Private,https://www.esesjcluny.pt/,4.8,4.1,4,0.0,3.23
Escola Superior de Negócios Atlântico,Polytechnic Organic Unit Not Attached to an University,Private,https://www.abs.pt/,5.9,8.3,7,0.0,5.30
Escola Superior de Saúde Atlântica,Polytechnic Organic Unit Not Attached to an University,Private,https://www.essatla.pt/,6.7,7.1,6.4,0.0,5.05
Escola Superior de Saúde da Fundação «Fernando Pessoa»,Polytechnic Organic Unit Not Attached to an University,Private,https://ess.fernandopessoa.pt/,7.7,7.6,6.5,0.0,5.45
Escola Superior de Saúde do Alcoitão,Polytechnic Organic Unit Not Attached to an University,Private,http://www.essa.pt/,5.7,5.7,5,0.0,4.10
Escola Superior de Saúde de Santa Maria,Polytechnic Organic Unit Not Attached to an University,Private,https://www.santamariasaude.pt/,5.5,4.7,5.8,0.0,4.00
Instituto de Estudos Superiores de  Fafe,Polytechnic Organic Unit Not Attached to an University,Private,https://www.iesfafe.pt/,3.9,3.4,4.5,0.0,2.95
ISAVE - Instituto Superior de Saúde,Polytechnic Organic Unit Not Attached to an University,Private,https://isave.pt/,5.4,5.4,5.4,0.0,4.05
ISCE - Instituto Superior de Lisboa e Vale do Tejo,Polytechnic Organic Unit Not Attached to an University,Private,https://www.isce.pt/,4.2,5.8,5.8,0.0,3.95
ISEC Lisboa - Instituto Superior de Educação e Ciências,Polytechnic Organic Unit Not Attached to an University,Private,https://www.iseclisboa.pt/,6.4,3.3,3.8,0.0,3.38
ISLA - Instituto Superior de Gestão e Administração de Santarém,Polytechnic Organic Unit Not Attached to an University,Private,https://www.islasantarem.pt/pt/,5.7,4.8,5.6,0.0,4.03
Instituto Português de Administração de Marketing,Polytechnic Organic Unit Not Attached to an University,Private,https://www.ipam.pt/,5.5,5.3,5.4,0.0,4.05
Instituto Superior de Administração e Gestão,Polytechnic Organic Unit Not Attached to an University,Private,https://www.isag.pt/,4.8,3.8,5.2,0.0,3.45
Instituto Superior de Administração e Línguas,Polytechnic Organic Unit Not Attached to an University,Private,https://isal.pt/,9.5,9.5,9.5,0.0,7.13
Instituto Superior de Ciências Educativas do Douro,Polytechnic Organic Unit Not Attached to an University,Private,https://www.iscedouro.pt/,4.8,3.4,3.7,0.0,2.98
Instituto Superior de Ciências Empresariais e do Turismo,Polytechnic Organic Unit Not Attached to an University,Private,https://www.iscet.pt/,5.1,4.4,4.9,0.0,3.60
Instituto Superior de Ciências da Informação e da Administração,Polytechnic Organic Unit Not Attached to an University,Private,https://iscia.edu.pt/,7.8,5.8,7,0.0,5.15
Instituto Superior D. Dinis,Polytechnic Organic Unit Not Attached to an University,Private,http://www.isdom.pt/,5.8,5.8,5.6,0.0,4.30
Instituto Superior de Entre Douro e Vouga,Polytechnic Organic Unit Not Attached to an University,Private,https://isvouga.pt/en/,5.5,5.8,5.8,0.0,4.28
Instituto Superior de Tecnologias Avançadas,Polytechnic Organic Unit Not Attached to an University,Private,https://www.istec.pt/,4.9,5.4,5.4,0.0,3.93
Instituto Superior de Ciências Policiais e Segurança Interna,University,Military / Police,http://www.iscpsi.pt/,3.5,4.4,4.4,0.0,3.08
